,Location,Type,P0,P1,Length,loc_id,idx,L
164,R1-7/R1-8,‘§÷∆¡∫MM,"(571189.849897147, 785636.9999560242)","(571233.5250097879, 785628.8495922112)",44.42908838,27,1,45
165,R1-7/R1-8,‘§÷∆¡∫MM,"(571189.3310619406, 785634.0449878132)","(571232.9614934125, 785625.902962108)",44.38363587,27,2,45
166,R1-8/W17,‘§÷∆¡∫DE,"(571234.5800459106, 785631.7044981145)","(571278.4697345361, 785623.5140915351)",44.64736865,28,0,45
167,R1-8/W17,‘§÷∆¡∫DE,"(571234.0165295353, 785628.7578680112)","(571277.846563701, 785620.5785937568)",44.58668436,28,1,45
168,R1-8/W17,‘§÷∆¡∫DE,"(571233.4530131599, 785625.8112379082)","(571277.2366348894, 785617.6406248386)",44.53947069,28,2,45
169,SA/R2-1,‘§÷∆¡∫SS,"(570913.0161342021, 785552.7071919041)","(570933.7499126059, 785578.17434788)",32.84000001,29,0,35
170,SA/R2-1,‘§÷∆¡∫SS,"(570915.4201592786, 785550.7499838335)","(570936.1539376823, 785576.2171398094)",32.84000001,29,1,35
171,R2-6/R2-7,‘§÷∆¡∫AA,"(571118.3682135075, 785663.1991253512)","(571147.3953277458, 785657.0561993999)",29.67,30,0,30
172,R2-6/R2-7,‘§÷∆¡∫AA,"(571117.7263529022, 785660.1663024147)","(571146.7534671413, 785654.023376463)",29.67,30,1,30
173,R2-7/R2-8,‘§÷∆¡∫MM,"(571147.8844938095, 785656.9526785716)","(571191.4202734948, 785647.7393248553)",44.49999999,31,0,45
174,R2-7/R2-8,‘§÷∆¡∫MM,"(571147.2426332054, 785653.9198556347)","(571190.7784128903, 785644.7065019185)",44.49999999,31,1,45
175,R2-8/R2-9,‘§÷∆¡∫MM,"(571191.9094395586, 785647.635804027)","(571235.4452192554, 785638.4224503085)",44.50000001,32,0,45
176,R2-8/R2-9,‘§÷∆¡∫MM,"(571191.2675789542, 785644.6029810903)","(571234.803358651, 785635.3896273716)",44.50000001,32,1,45
177,R2-9/W17,‘§÷∆¡∫DE,"(571235.9343853194, 785638.31892948)","(571279.6362543023, 785629.0704267564)",44.6697678,33,0,45
178,R2-9/W17,‘§÷∆¡∫DE,"(571235.292524715, 785635.2861065431)","(571278.9993124959, 785626.0365628682)",44.67479554,33,1,45
179,NA/R3-1,‘§÷∆¡∫SS,"(571121.4311270164, 785814.0078808812)","(571096.3228159661, 785782.9268198772)",39.95572095,34,0,40
180,NA/R3-1,‘§÷∆¡∫SS,"(571123.835221375, 785812.0507535528)","(571098.7476759658, 785780.9954851102)",39.92260804,34,1,40
181,R4-4/R4-5,‘§÷∆¡∫AA,"(571151.5500671364, 785673.8207444696)","(571194.575960963, 785661.8131128245)",44.67002079,35,0,45
182,R4-4/R4-5,‘§÷∆¡∫AA,"(571150.642918422, 785670.8554520493)","(571193.7426580577, 785658.8272115752)",44.74668843,35,1,45
183,R4-5/R4-6,‘§÷∆¡∫MM,"(571195.0575579385, 785661.6787091299)","(571237.9196887694, 785649.7167803287)",44.5,36,0,45
184,R4-5/R4-6,‘§÷∆¡∫MM,"(571194.2242550332, 785658.6928078808)","(571237.0863858642, 785646.7308790797)",44.5,36,1,45
185,R4-6/W17,‘§÷∆¡∫DE,"(571238.4012857449, 785649.5823766344)","(571281.4219897683, 785637.5761933549)",44.66463267,37,0,45
186,R4-6/W17,‘§÷∆¡∫DE,"(571237.5679828397, 785646.5964753855)","(571280.7836918898, 785634.5358702613)",44.86708933,37,1,45
